id,order,le_type,as_type,title,description,date start,date finish,list of domain ids,image file name,video_url,caption
1989,,AS,FO,"<p>Globalization and the Dynamics of Cultural Transformation</p>
","<p>Students spend the first week acquiring an overview of the themes they will explore the remainder of the year, including the difference between&nbsp;<em>globalization</em>&nbsp;and&nbsp;<em>planetization</em>&nbsp;.</p>
",,,10|7,,,
1990,,LE,,"<p>Modeling World Order</p>
","<p>Students study the post-World War II shift in international diplomacy from a security to a rights framework by examining the original structure of the United Nations as a manifestation of the interest in collective security. After exploring the broadening definition of human rights promoted by the UN, which furthered the development of global consciousness, they propose structural reforms to the UN that would better support the latter framework.</p>
",,,10,,,
1991,,LE,,"<p>Class, Free Markets, and the Cold War</p>
","<p>Students compare the Soviet and U.S. perspectives on the war and the postwar world to analyze the origins of the Cold War.</p>
",,,10,,,
1992,,LE,,"<p>Orthodoxy and Dissent in the Cold War</p>
","<p>Students read speeches by Winston Churchill&nbsp;and Joseph Stalin to get a deeper understanding of Cold War conflicts and then explore the conformity and conflict of American&nbsp;and Soviet&nbsp;culture in the 1950s, as American and Soviet values become rigidified into ideologies of mutual opposition&nbsp;and self-promotion. They then create original visual products reflecting their view of the &ldquo;American Way&rdquo; or the &ldquo;Soviet Way&rdquo; and role-play a conformist or nonconformist who critiques these works from a particular point of view.</p>
",,,10|7|6,,,
1994,,LE,,"<p>Introduction to Playwriting Elements</p>
","<p>Students are introduced to the basic elements of writing a play through reading, discussion, and an informal presentation of the Anton Chekhov play,&nbsp;<em>A Jubilee</em>.</p>
",,,1|10,,,
1995,,AS,FO,"<p>Synopsis of Chekhov&rsquo;s<em>&nbsp;A Jubilee</em></p>
","<p>By means of a detailed plot synopsis&nbsp;of Chekhov&rsquo;s&nbsp;<em>A Jubilee,</em>&nbsp;students demonstrate understanding of playwriting elements.</p>
",,,10,,,
1996,,LE,,"<p>Group Storytelling Exercise</p>
","<p>Students invent and sustain the telling of a story by engaging in collaborative story creation both orally and in written dialogue.</p>
",,,10,,,
1997,,AS,FO,"<p>Writing a Conflict Script</p>
","<p>Using photographs of two anonymous people, students create characters and backstories upon which they base a two- to three-page script, incorporating elements learned through their study of&nbsp;<em>A Jubilee</em>&nbsp;and their group storytelling exercise.</p>
",,,10,,,
1999,,LE,,"<p>Writing a Trial Scene</p>
","<p>Students work in teams to draft and revise a script that incorporates historical understanding and elements of playwriting.</p>
",,,1|10|4,,,
2000,,LE,,"<p>Rehearsing the Scene</p>
","<p>Students learn, practice, and employ effective sight-reading and acting techniques in preparation for performing their Trial Project play.</p>
",,,1|10,,,
2001,,AS,SU,"<p>Visionary Leaders&rsquo;&nbsp;Trial Project Performance</p>
","<p>As performers and peer teachers, students present their plays to classmates who render a verdict on whether this revolutionary leader should be found guilty or innocent of the alleged crime(s).</p>
",,,1|10,,,
2002,,LE,,"<p>Critiquing Performances</p>
","<p>In a supportive atmosphere of constructive criticism, students watch video recordings of their own and others&rsquo; Trial Project Performances. They reflect on how and why performances were well done or could have been improved.</p>
",,,1|10,,,
2003,,LE,,"<p>Cities of Early Modern Europe</p>
","<p>Students engage in brief readings of historical texts dealing with life in London and Paris in early modern Europe to provide context for understanding the Glorious Revolution.</p>
",,,10,,,
2004,,LE,,"<p>The Tudors, the Stuarts, and the Glorious Revolution</p>
","<p>To better understand the factors that led to the Glorious Revolution in Great Britain, students take and revise notes on a presentation about the Tudors, the Stuarts, and the Glorious Revolution.</p>
",,,10,,,
2005,,LE,,"<p>The Glorious Revolution and the Rise of Constitutionalism</p>
","<p>Based on the presentation they viewed and on readings, students work in small groups to create and give presentations on the factors that led to the Glorious Revolution, its details, and its effects on English society.</p>
",,,10,,,
2006,,AS,FO,"<p>The Glorious Revolution Assignment</p>
","<p>Students demonstrate their understanding of key vocabulary terms and events.</p>
",,,10,,,
2007,,AS,FO,"<p>Paraphrasing the English Bill of Rights</p>
","<p>By rewriting a historical text in their own language, students&rsquo; understanding of the English Bill of Rights can be assessed.</p>
",,,10,,,
2008,,LE,,"<p>The Philosophies of Locke and Hobbes</p>
","<p>Students focus on the conflicting philosophies of Thomas Hobbes and John Locke and why they were the two most important thinkers of the 17th century.</p>
",,,10|7,,,
2009,,AS,FO,"<p>Hobbes and Locke Vocabulary</p>
","<p>The vocabulary assessment provides students with opportunities to demonstrate their understanding of vocabulary used by Hobbes and Locke.</p>
",,,10,,,
2011,,LE,,"<p>Europe Before Transatlantic Slavery</p>
","<p>Students discover the early history of slavery in Europe. By looking at the major slave-trading countries, students understand slavery through global trade and conquest during an age of expansion.</p>
",,,10,,,
2012,,LE,,"<p>The Move to Africa</p>
","<p>In this learning experience, students discuss the transition to African slavery and the slave markets. By looking at African slave narratives, students begin to understand the larger picture behind slavery.</p>
",,,10|5,,,
2014,,LE,,"<p>Slavery: The Terrible Transformation</p>
","<p>Students discover how the use of enslaved labor in the colonies allowed parent countries to build wealth.</p>
",,,10|7,,,
2015,,LE,,"<p>Leaders in Resistance</p>
","<p>Students learn about iconic leaders in the slave resistance. By studying Nat Turner, Denmark Vesey, and Olaudah Equiano students are able to understand how the ideas of the Enlightenment began to affect enslavement in the colonies.</p>
",,,10|5,,,
2016,,AS,SU,"<p>Reflective Essay: Effects&nbsp;of Slavery</p>
","<p>Students write a reflection answering several questions addressing the effects of slavery on both sides of the Atlantic.</p>
",,,10,,,
2017,,LE,,"<p>The Enlightenment: An Introduction</p>
","<p>Students use their readings, including an essay by Emanuel Kant, to create their own definitions of&nbsp;<em>Enlightenment</em>.</p>
",,,10,,,
2018,,LE,,"<p>Isaac Newton&rsquo;s Contributions to Modern Science</p>
","<p>In this learning experience, students learn about Isaac Newton&rsquo;s accomplishments in the fields of mathematics, motion, and optics. They study how he helped create the modern understanding of the universe and how his understanding of the natural world helped lead to the development of the Enlightenment.</p>
",,,10|4,,,
2019,,AS,FO,"<p>Enlightening the Despots</p>
","<p>After reading<em>&nbsp;Introducing the Enlightenment,</em>&nbsp;by Lloyd Spencer, students complete a quiz to demonstrate their understanding of the text.</p>
",,,10,,,
2020,,AS,SU,"<p>Ridicule Quiz</p>
","<p>Students watch the film&nbsp;<em>Ridicule</em>&nbsp;in order to deepen their understanding of salon culture and the concept of Enlightenment values. They then take a quiz on what they have learned.</p>
",,,10|7,,,
2021,,AS,SU,"<p>The Encyclopedia Project</p>
","<p>Students mimic Diderot and D&rsquo;Alembert&rsquo;s work as they create a compendium of information for selected words based on their understanding of the meaning and organization of knowledge.</p>
",,,10,,,
2022,,LE,,"<p>Benjamin Franklin as a Model of Enlightenment</p>
","<p>This learning experience emphasizes how Franklin stands as a model of the Enlightenment through his scientific, cultural, and political activities.</p>
",,,10|4,,,
2023,,LE,,"<p>The Seven Years&rsquo; War</p>
","<p>Integrating with their reading of Candide, students research why and to what extent specific participants were involved in the Seven Years&rsquo; War and the&nbsp;war&rsquo;s&nbsp;effects on them and their global position.</p>
",,,10,,,
2024,,LE,,"<p>Background to Mercantilism</p>
","<p>This learning experience introduces students to the concept of mercantilism and provides another connection of this unit to the novella&nbsp;<em>Candide</em>.</p>
",,,10,,,
2025,,AS,SU,"<p>Mapping&nbsp;<em>Candide</em>&nbsp;and Beyond Project</p>
","<p>In the first part of the project, students devise a method to map the travels of the novella&rsquo;s main character. In the second part, more broadly based, they research and write about any particular place connected to this grade&rsquo;s curriculum.</p>
",,,10|5|7,,,
2026,,AS,SU,"<p>Mercantilism Quiz</p>
","<p>This assessment gauges student understanding of the Seven Years&rsquo; War, mercantilism, and the connection that each has to the novella&nbsp;<em>Candide.</em></p>
",,,10,,,
2027,,LE,,"<p>Mercantilism Game</p>
","<p>Students debate principles and practices of mercantilism through this game.</p>
",,,1|10,,,
2028,,LE,,"<p>The Proclamation of 1763</p>
","<div style=""margin-left:auto;"">
<div>
<div>
<div>
<p>This learning experience introduces students to the Royal Proclamation of 1763 as they consider the document from the viewpoint of the British, the colonists, and the Native Americans.</p>
</div>
</div>
</div>
</div>
",,,10,,,
2029,,AS,SU,"<p>Taxes and the Road to Revolution</p>
","<p>Students create their own study guides to identify the events and actions that caused the American Revolution.</p>
",,,10,,,
2030,,LE,,"<p>The Uses of Rhetoric in the Revolutionary Period</p>
","<p>Students investigate the use of rhetorical devices in 18th-century writing in favor of and in opposition to the American Revolution.</p>
",,,10,,,
2031,,AS,SU,"<p>Point-of-View Project</p>
","<p>While studying the ways in which Enlightenment ideals crossed the Atlantic, students learn how the rhetoric of freedom can be used to support a wide variety of opinions. Assuming the viewpoint of a member of a group affected by the upcoming American Revolution, students write letters in favor of or against the war and respond to letters written by fellow students.</p>
",,,10,,,
2033,,LE,,"<p>U.S. Constitutionalism Salon</p>
","<p>Students are introduced to the Bill of Rights by writing paraphrases of each amendment. To extend their understanding of the individual rights, they read about contemporary issues involving those rights and discuss the issues in a seminar setting.</p>
",,,10,,,
2034,,LE,,"<p>The Ancien R&eacute;gime</p>
","<p>This introductory learning experience sets the stage for a study of the remnants of the feudal system and the rise of absolute monarchy.</p>
",,,10,,,
2035,,LE,,"<p>Analyzing French Political Cartoons</p>
","<p>Students analyze political cartoons to determine how they reflect the relationship between the three estates in French society during the&nbsp;<em>ancien r&eacute;gime.</em></p>
",,,7,,,
2036,,AS,FO,"<p>Society in the&nbsp;<em>Ancien R&eacute;gime</em>&nbsp;Quiz</p>
","<p>Students answer comprehensive and interpretive questions to demonstrate their understanding of the roles in society at this time.</p>
",,,10,,,
2037,,LE,,"<p>Absolute Power in France</p>
","<p>This learning experience introduces students to the concept of absolutism and the development of the modern state.</p>
",,,10|7,,,
2038,,LE,,"<p>Louis XIV&rsquo;s Absolute Reign</p>
","<p>Students read primary and secondary sources to investigate Louis XIV&rsquo;s reign and analyze the effects of his rule.</p>
",,,10|7,,,
2039,,AS,SU,"<p>The Legacy of&nbsp;Louis XIV&rsquo;s Absolute Reign</p>
","<p>To demonstrate their understanding of absolutism and the reign of Louis XIV, students take part in a formalized class discussion around the question &ldquo;What was the legacy of Louis XIV?&rdquo;</p>
",,,10,,,
2040,,LE,,"<p>The French Revolution</p>
","<p>This learning experience begins students&rsquo; exploration of the French Revolution through reading and film study.</p>
",,,10,,,
2041,,AS,SU,"<p>The &ldquo;Reign of Terror&rdquo; Project</p>
","<p>In this research project, students investigate the social and political conflicts that lead to the Reign of Terror. The research culminates in a presentation.</p>
",,,10|7,,,
2042,,LE,,"<p>The Haitian and South American Revolutions</p>
","<p>Students learn how the French Revolution gave support to other revolutions around the world.</p>
",,,10,,,
2043,,LE,,"<p>Romanticism: Literature, Music, and Art</p>
","<p>Students begin this unit by studying the aftermath of the French Revolution. They then review a biographical study of Napoleon Bonaparte, a figure representing not only charismatic individualism but also the rise of nationalism and the trend toward territorial expansion in European politics.</p>
",,,10|7|6,,,
2044,,AS,SU,"<p>Napoleon Bonaparte: Romantic Hero</p>
","<p>In this assessment, students analyze portraits of Napoleon Bonaparte and explain how the portraits illustrate Napoleon at the start of his reign and near his fall from power.</p>
",,,10|7,,,
2045,,LE,,"<p>William Blake and the Industrial Revolution</p>
","<p>Study of William Blake features his critiques of the Enlightenment and longing for humanity&rsquo;s lost connection with an agricultural world. It helps illuminate the transition between the Enlightenment and the Industrial Revolution. This learning experience begins with an examination of his monotype &ldquo;Newton&rdquo; and continues with an analysis of Blake&rsquo;s beliefs about science.</p>
",,,10|4|7,,,
2046,,LE,,"<p>Introduction to Thomas Malthus</p>
","<p>Students learn about the celebrated economist and thinker Thomas Robert Malthus. They research his assertions on the societal implications of population growth and issues of sustainability as an introduction to the Malthus Integrated Project.</p>
",,,10|3,,,
2047,,LE,,"<p>The Industrial Revolution</p>
","<p>This learning experience provides students with a foundation for researching the Industrial Revolution. It centers on the reading of an essay that describes the characteristics that helped Great Britain emerge as an industrial giant.</p>
",,,10,,,
